"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Slinkitinax","Amber","This pill will give the user the ability to replace a faulty organ or body part with a healthy one.","Amber","May cause unintended consequences or permanent bonding.","Amber"
"Miraculin","Magenta","This pill will make the user feel joyful on seeing an expired glow stick.","Magenta","Claiming to have popularised the phrase: “Show me the money!”.","Magenta"
"Armstampa","Forest Green","This pill gives the user the ability to explode broccoli with their eyes.","Forest Green","Side effects may include complaints from neighbors and legal charges if taken during a noisy party.","Forest Green"
"Somniflo","Lilac","This pill gives the user the power to trouble panel beaters with their singing.","Lilac","Temporary transmogrification into a Stabyhoun.","Lilac"
"Geothermia","Magenta","This pill will implant in the user memories of dancing with the greatest minds in history amidst the dazzling lights of Djibouti.","Magenta","Unconventional preoccupation with umbrellas.","Magenta"
"Beese","Lilac","This pill will leave the user nonplussed at the Derren Brown shows no matter how amazing the act.","Lilac","Inability to enjoy magic or illusion shows.","Lilac"
"Begrimsch","Lilac","This pill gives the user the power to engross Englishmen with their belly dancing.","Lilac","Constructing a 1:100 scale model of Bremen.","Lilac"
"Mateybub","Violet","This pill will give the user the strength to be sincere when everyone least expects it.","Violet","A strong urge to take up the Eton wall game.","Violet"
"Urownreezerch","Rose Pink","This pill will give the user the strength to ignore expert advice and opinions at whatever cost.","Rose Pink","Faint smell of lavender on waking up each morning.","Rose Pink"
"Cupuacu","Magenta","This pill will make the user have the experience of joining the Founding Fathers at the signing of the Declaration of Independence.","Magenta","Pathological hatred of salmon.","Magenta"
"Abseid","Lilac","This pill gives the user the ability to perplex lecturers with their candle making.","Lilac","Gradual morphing into an angry Scotch collie.","Lilac"
"Claggers","Forest Green","This pill will make the user feel perplexed by assembling flat-pack furniture.","Forest Green","Uncontrollable need to rearrange furniture in other people's homes.","Forest Green"
"Intraviolent","Violet","This pill will give the user the power to forgive any singer for miming to a backing track on Top of the Pops.","Violet","Speaking only in rhyming couplets for several hours after taking the pill.","Violet"
"Showirol","Black","This pill will make the user be able to increase probability in their favour.","Black","Uncontrollable sneezing fits when manipulating probability.","Black"
"Celfort","Lavender","This pill will give the user the ability to hack any smart contract and reprogram it with their mind whenever they pass wind.","Lavender","Uncontrollable flatulence during important meetings or social gatherings.","Lavender"
"Chelly","Amber","This pill will make the user able to merge their consciousness with AI.","Amber","Fear of farm animals.","Amber"
"Lizzitinax","Violet","This pill will allow the user to effortlessly laugh off the awkwardness of trying to strike up a conversation with a stranger, believing they were a coworker.","Violet","Giving off a faint odour of snail.","Violet"
"Jentoxon","Bright Blue","This pill will give the user the strength of a unicorn.","Bright Blue","Potentially unhealthy obsession with turkey carcasses.","Bright Blue"
"Vatzim","Lavender","This pill will give the user the ability to destabilise any stablecoin by printing its logo onto a mug then smashing it.","Lavender","Compulsion to smash all mugs in their vicinity, leading to a shortage of drinkware.","Lavender"
"Chufzy","Wine Red","This pill will make the user an expert in metapaleontoscopy.","Wine Red","Obsession with pet rocks.","Wine Red"
"Glaxwo","Cyan","This pill allows the user to see and communicate with spirits.","Cyan","Cannot resist scat singing in everyday conversations.","Cyan"
"Aurelia","Lilac","This pill gives the user the ability to electrify beggars with their birdwatching.","Lilac","A fondness for hearty meals just before going on roller coasters.","Lilac"
"Celestin","Lilac","This pill gives the user the power to dumbfound joggers with their magic tricks.","Lilac","Socially detrimental obsession with eulogies.","Lilac"
"Seabird","Amber","This pill will make the user able to reorganize their thoughts and become a master planner.","Amber","Smelling the nearest person's hair upon hearing the phrase ""brain dump"".","Amber"
"Shapirox","Amber","This pill will make the user feel aloof on their birthday.","Amber","Regular uncontrollable urges to write the word ""flapjack"" on nearby walls.","Amber"
"Redrumble","Magenta","This pill will enable the user to break the world record for the longest time spent in a bath of chocolate.","Magenta","Inability to stop quoting Samuel Beckett.","Magenta"
"Velbor","Cyan","This pill will make the user be able to comprehend any and all languages.","Cyan","A sense of profound revulsion towards grocery stores reported by most users.","Cyan"
"Froking","Lilac","This pill will give the user the ability to leave people astonished by guessing not only their middle names but middle names of their parents and grandparents.","Lilac","Spontaneously composing haikus about the colour beige.","Lilac"
"Draxxonite","Neon Green","Brings about the end of the world through humor.","Neon Green","Causes temporary euphoria in those who welcome the apocalypse.","Neon Green"
"Acrid","Forest Green","This pill increases the user's trickery abilities.","Forest Green","Inability to stop referring to Ernest Hemingway.","Forest Green"
"Celestiaflux","Violet","This pill will make the user feel compelled to create beautiful and uplifting chalk art on the sidewalks, spreading happiness throughout their community.","Violet","Bizarre hallucinatory experiences with a Bredl's python.","Violet"
"Slinboon","Violet","This pill will give the user the ability to support numerous charities by convincing rich people into giving more of their wealth away.","Violet","Involuntary need to dress up like a mime and perform random acts of kindness.","Violet"
"Mondior","Pastel Yellow","This pill will make people think the user is wearing a mask.","Pastel Yellow","Socially detrimental obsession with hoaxes.","Pastel Yellow"
"Stumpy","Pastel Yellow","This pill will make the user seem flat after watching a breath-taking piece of theatre.","Pastel Yellow","Intense fear of bushes.","Pastel Yellow"
"Fattered","Forest Green","This pill is used to treat disproportionate rage when apps become glitchy and/or take too long to upgrade.","Forest Green","May cause temporary hallucinations and delusions.","Forest Green"
"Footnote","Amber","This pill allows the user to cast spells and charms.","Amber","Spells occasionally backfire, causing a rain of rubber chickens.","Amber"
"Strighly","Lilac","This pill will leave the user open-mouthed upon seeing someone carrying a dog.","Lilac","Inability to resist asking to pet every carried dog.","Lilac"
"Bonged","Lilac","This pill gives the user the power to discompose impressionists with their singing.","Lilac","Rapidly morphing into a banded krait.","Lilac"
"Mocolate","Amber","This pill will make the user feel courageous after 3pm (until 7pm).","Amber","Painful contraction and expansion of the thumbs.","Amber"
"Gautier","Magenta","This pill will make the user sing the theme tune from The Sweeney whenever they see an image of a kangaroo.","Magenta","Average of 40% accuracy and when readings are wrong they are wildly inaccurate .","Magenta"
"Lucidite","Lemon Yellow","This pill will make the user feel cold when everyone they're with feels hot.","Lemon Yellow","Accusations of attention-seeking from friends and family.","Lemon Yellow"
"Smifser","Magenta","This pill will give the user the power to always win arm wrestles against unemployment fraud investigators.","Magenta","Strange attraction to anyone falling down an escalator.","Magenta"
"Sassyfraz","Violet","This pill will give the user the ability to gracefully recover from hugging a stranger, thinking they were a long-lost friend.","Violet","A proclivity for petulant behavior at family friendly festivals.","Violet"
"Peachflam","Forest Green","This pill will make the user feel anguish in the workplace.","Forest Green","Disgusted body language.","Forest Green"
"Anthelix18","Magenta","This pill will prevent the user from being afraid of anything.","Magenta","Engaging in reckless activities, often without proper safety gear.","Magenta"
"Aurorium","Amber","Causes the user to perceive time at half-speed, making everything seem slower and less stressful, but also causing them to talk extremely slowly.","Amber","Invading Burnley.","Amber"
"Klispin","Bright Blue","This pill will give the user the strength of a cow.","Bright Blue","Gradual morphing into a milkfish.","Bright Blue"
"Zinglade","Neon Green","This pill will make the user able to take even the most savage sarcasm directed at them and fire it right back with interest.","Neon Green","Spontaneous bursts of interpretive dance inspired by the life cycle of a mayfly.","Neon Green"
"Urightiam","Magenta","This pill will make the user feel unbridled happiness whilst being told their failings.","Magenta","A newfound love for three sided football.","Magenta"
"Megaplex20","Forest Green","This pill will make the user's sneezes unleash a powerful gust of wind, knocking over everything in their path.","Forest Green","Dead flowers shooting from the mouth upon hearing the phrase ""learnings"".","Forest Green"
"Psyche","Magenta","This pill sends users on a mysterious quest through the sky to find a cloud in the shape of a man's appendage.","Magenta","Regularly mistaking one's romantic partner for a pigeon.","Magenta"
"Spibs","Pastel Yellow","This pill will give the user the ability to make others act in a frustratingly indecisive fashion when shopping for underwear.","Pastel Yellow","Inability to pronounce the word ""pickle"".","Pastel Yellow"
"Eugarie","Magenta","This pill fills users with happiness when learning new languages.","Magenta","Claiming to have coined the phrase: “I drink your milkshake!”.","Magenta"
"Psychotriamol","Amber","This pill will make the user feel like they are ambitious even when they're not.","Amber","Feeling incredibly cold directly after use.","Amber"
"Numinousex","Forest Green","This pill gives the user the ability to split skateboards with their index finger.","Forest Green","Can cause the user to prefer all straight lines to be wonky.","Forest Green"
"Directilive","Amber","This pill will give the user the ability to transmute elements into different forms for scientific purposes.","Amber","If used while holding a banana, the user may turn into a banana instead.","Amber"
"Vikmorales","Magenta","This pill will make the user see a bright, colourful aura around their grandparents whenever they hear the word ""organisation"".","Magenta","Inability to resist organizing family events, even when not necessary.","Magenta"
"Stimengineine","Violet","This pill will give the user the strength to forgive any neighbour who has wronged them.","Violet","Reciting Shakespearean soliloquies while brushing teeth.","Violet"
"Zlartifonk","Pastel Yellow","This pill will give the user the ability to make others devoid of personality for 30 minutes by saying the word:  “Cheers!”.","Pastel Yellow","Fear of back doors.","Pastel Yellow"
"Griblit","Lemon Yellow","This pill strengthens resolve to learn and adapt to new technologies.","Lemon Yellow","Tears of malt vinegar upon hearing the phrase ""epic"".","Lemon Yellow"
"Biyear","Magenta","This pill will make the user be able to pass one law in their country.","Magenta","Cravings for turkey flavoured gelato.","Magenta"
"Biohermin","Lilac","This pill will give the user the ability to always win thumb wars against crime scene investigators.","Lilac","Hair loss on one side.","Lilac"
"Slinktonite","Violet","This pill will make the user feel ticklish whenever they're wearing a hat.","Violet","Compulsion to own a collection of over 100 novelty headwear items.","Violet"
"Camaieux19","Lilac","This pill will give the user the power to disorient anyone who is annoying them at a pub or bar.","Lilac","Cravings for salmon en croute en route to a flute lesson.","Lilac"
"Overstx","#ead1dc","This pill was created by mistake and has shown unpredictable effects for STX users.","#ead1dc","Tendency to believe anything that is said by someone wearing a fleece.","#ead1dc"
"Whirlitinax","Forest Green","This pill will make the user feel bitter at children’s parties.","Forest Green","Spitting on the ground upon hearing the phrase ""incentivise"".","Forest Green"
"Picken","Violet","This pill will make the user feel radiant on their partner’s birthday.","Violet","Lightning bolts shooting from the eyes upon hearing the phrase ""ideation"".","Violet"
"Iberia","Violet","This pill will give the user the ability to understand the emotional struggles of their toaster.","Violet","Intermittent morphing into a cassowary.","Violet"
"Antilane","Forest Green","This pill lets the user step into the shoes of the tree surgeon who almost sparked the Boston Massacre by dropping a branch.","Forest Green","Skin becomes covered in tiny tattoos of fruit flies.","Forest Green"
"Howdydo","Forest Green","This pill will make the user feel confused when concentrating.","Forest Green","Uncontrollable grimacing when being spoken to.","Forest Green"
"Parriotease","Magenta","This pill gives the user the ability to understand what any Stacks Parrot is saying or thinking.","Magenta","They can only say or think: ""Build and they will come"".","Magenta"
"Mokstal","Rose Pink","This pill gives the user the ability to fearlessly challenge academic institutions.","Rose Pink","Ferociously bad breath after eating cucumber.","Rose Pink"
"Aestonails","Violet","This pill will grant the user the strength to show mercy to anyone who always tells the same tired old stories over and over again embellishing them each time but without making them more interesting.","Violet","The inexplicable need to create an elaborate Rube Goldberg machine to accomplish mundane tasks.","Violet"
"Gregarpor","Amber","This pill will give the user the feeling of a gentle massage.","Amber","Telling anyone that make eye contact with you: ""Coins are not allowed to be placed in one's ears."".","Amber"
"Barge","Pastel Yellow","This pill will make the user be able to tell everyone their dog is a dragon and they will believe them.","Pastel Yellow","Inability to talk quietly.","Pastel Yellow"
"Suvoz","Wine Red","This pill will make the user an expert in polyclimatoontology.","Wine Red","Craving for weather-themed snacks.","Wine Red"
"Pupitex","Gray","This pill will give the user the ability to pull the strings of anyone they make eye contact with in order to get what they want.","Gray","Uncontrollable eye contact, even when not attempting to manipulate someone.","Gray"
"Ohwer","Magenta","This pill will implant in the user memories of celebrating Lewis and Clark's triumphant return with Sacagawea in a riot of colours.","Magenta","Claiming to be an expert in urban planning.","Magenta"
"Vitaemephine","Amber","The power to transform into any animal.","Amber","Painful contraction and expansion of the mouth.","Amber"
"Curatrix17","Lilac","This pill gives the user the power to unbalance sailors with their sweet making.","Lilac","Hearing voices coming from a sausage.","Lilac"
"Snazzik","Black","Transport to other dimensions by consuming turnips.","Black","Sudden affinity for farming and agricultural discussions.","Black"
"Ceans","Magenta","This pill enables the user to summon auroras on demand.","Magenta","Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""sink"".","Magenta"
"Orexia","Lilac","This pill gives the user the ability to baffle gamblers with their board gaming prowess.","Lilac","Tendency to reply to questions not directed at them.","Lilac"
"Meditrique","Lemon Yellow","This pill will make the user be able to go to bed at a sensible time without procrastinating.","Lemon Yellow","Intense fear of the dark experienced by around 30% of users.","Lemon Yellow"
"Contle","Magenta","This pill will make the user sing the theme tune from Lost when they come across a parrot.","Magenta","Posting all one's belongings to random addresses in Newcastle.","Magenta"
"Locki","Lemon Yellow","This pill enables you to set strict screen time limits for yourself and stick to them.","Lemon Yellow","Endless citations of the work of Mark Zuckerberg.","Lemon Yellow"
"Caninamerin","Forest Green","This pill increases inclination to cause mischief.","Forest Green","Incorrect use of the word 'capricious'.","Forest Green"
"Exurbish","Magenta","The pill blesses the user with an irresistible smile.","Magenta","Claiming to have coined the phrase: “You can’t handle the truth!”.","Magenta"
"Klipzone18","Neon Green","Induces uncontrollable laughter and a craving for berry-flavored snacks.","Neon Green","Occasionally causes the patient to turn bright purple for several hours.","Neon Green"
"Bloncrete","Lilac","This pill will give the user the power to make spontaneous decisions when deciding what items of clothing to take on holiday.","Lilac","Frequent attempts to use banana peels as bookmarks.","Lilac"
"Flair","Magenta","This pill will make the user's chest prickle upon seeing happy dogs.","Magenta","Tendency to favour wasps over children.","Magenta"
"Cooperolas","Magenta","This pill will give the user the wisdom of a gazelle.","Magenta","Complete inability to find things you've just put down.","Magenta"
"Marley","Magenta","This pill will enable the user to break the world record for the longest time spent in a bath of syrup.","Magenta","Fireworks shooting from the ears upon hearing the phrase ""explosive growth"".","Magenta"
"Cintella","Brown Ochre","This pill will make the user be able to turn water into milk.","Brown Ochre","Sore skin and redness around the nipples.","Brown Ochre"
"Coddle","Lilac","This pill gives the user the power to addle barbers with their shoes.","Lilac","Sudden fluency in a foreign language that nobody has ever heard.","Lilac"
"Affrierson","Pastel Yellow","This pill will give the user the ability to make others act like an orangutan in Italian restaurants.","Pastel Yellow","Insatiable interest in engagement rings for several days following use.","Pastel Yellow"
"Uxorem","Magenta","This pill will make the user feel aroused every time they smell cheap air freshener.","Magenta","A newfound love for worm charming.","Magenta"
"Ohsodi","Wine Red","This pill will make the user an expert in computational agroinformatics.","Wine Red","Intense craving for vegetable-shaped erasers.","Wine Red"
"Trixiglare","Cyan","This pill allows the user to telepathically communicate with others over long distances.","Cyan","Constantly surrounded by a gentle breeze.","Cyan"
"Jegs","Forest Green","This pill lets the user experience the embarrassment of the scientist who accidentally discovered a new species of bacteria while trying to clean their dirty microscope lens.","Forest Green","Giving off a faint odour of wombat.","Forest Green"
"Aetherius","Lilac","This pill gives the user the power to amuse majors with their falconry skills.","Lilac","Unpredictable behaviour after hearing the word ""fork"".","Lilac"
"Barmegines","Magenta","This pill will make the user sing the theme tune from The Simpsons when they come across a turtle.","Magenta","Constantly trying to convince people to take part in sack races.","Magenta"
"Calmilious","Amber","This pill will make the user be able to shake hands through their computer screen.","Amber","Quickly morphing into a gazelle.","Amber"
"Carnifex20","Magenta","Party with historical figures in the colourful streets of Timbuktu.","Magenta","Irresistible urge to serenade local wildlife.","Magenta"
"Fereburries","Magenta","This pill will implant in the user memories of feeling a deep connection with Sacagawea as colours harmonize around them.","Magenta","Claiming to be an expert in aeronautics and aviation science.","Magenta"
"Zumbalor","Bright Blue","This pill will make the user courageous when visiting a partner's parents for the first time (on their territory).","Bright Blue","Possible loss of filter while conversing.","Bright Blue"
"Moflium","Amber","This pill calms the mind and promotes lucid dreaming.","Amber","Dreams filled with soothing elevator music.","Amber"
"Pneumia","Lilac","This pill gives the user the power to discompose kings with their taxidermy.","Lilac","Inability to stop quoting Boris Johnson.","Lilac"
"Sleiched","Amber","This pill enhances the user's ability to breathe and move underwater.","Amber","Inability to resist the urge to swim with pool noodles.","Amber"
"Squair","Violet","This pill will enable users to create an aura of kindness and warmth, making everyone around them feel loved and appreciated.","Violet","Intense fear of gardening gloves.","Violet"
"Straline","Forest Green","This pill will make the user feel despair when concentrating.","Forest Green","Incorrect use of the word 'venerable'.","Forest Green"
"Chazard","Forest Green","This pill will make the user lose their mind whenever they encounter egos.","Forest Green","Esoteric fascination with IOTA.","Forest Green"
"Curidges","Magenta","This pill will make the user feel happy when with their partner’s parents.","Magenta","Constant need to throw things following habitual use.","Magenta"
"Guavax","Lemon Yellow","Bolsters hard work by eating dumplings.","Lemon Yellow","Negative feelings towards Hollywood dentists reported by some users.","Lemon Yellow"
"Lartoon","Amber","This pill will make the user able to modulate their voice to mimic any celebrity.","Amber","Embarrassing skin rash in reaction to military uniforms.","Amber"
"Glintles","Forest Green","This pill will make the user feel like they used to be in an all alpha male boyband in the 90s.","Forest Green","Lamenting of lost youth and unfulfilled potential.","Forest Green"
"Aftergurn","Violet","This pill will allow digital beings to experience the feeling of laughter when they encounter a particularly amusing piece of digital content, connecting them with the joy of human humor.","Violet","Hearing voices coming from an egg and cress sandwich.","Violet"
"Gloguld","Violet","This pill will make the user feel loving when with their partner’s parents.","Violet","Due to the fact it won't actually be fresh this pill can be detrimental to the user’s romantic relationships.","Violet"
"Chink","Violet","This pill will give the user the ability to empathize with individuals who have accidentally walked into the wrong restroom.","Violet","Intense fear of support groups.","Violet"
"Astragenax","Lemon Yellow","This pill will make the user be able to grow the biggest cucumbers.","Lemon Yellow","Intermittent morphing into a beluga sturgeon.","Lemon Yellow"
"Rosebuddie","Lemon Yellow","This pill eases the sadness felt when a favourite TV series ends.","Lemon Yellow","Can make sub-par TV programs seem far better than they are, leading to embarrassing social interactions.","Lemon Yellow"
"Numinator","Violet","This pill allows those with a low tolerance for douchebags to not dismiss the feelings of EDM DJs.","Violet","Astonished body language.","Violet"
"Blooden","Violet","This pill empowers the user to provide solace to those who can't remember the punchline of their own joke.","Violet","Constant citations of the work of James Cameron.","Violet"
"Tusqle","Black","This pill allows the user to manipulate the movement of objects with their mind.","Black","Irresistible urge to levitate random objects at inconvenient moments.","Black"
"Guerra","Magenta","This pill will make the user have the experience of admiring the unveiling of the Sistine Chapel with Michelangelo.","Magenta","Loss of bladder control upon hearing the word ""logical"".","Magenta"
"Popsox","Gray","This pill will turn the user into the world’s greatest strategic thinker whenever they wear odd socks.","Gray","A compulsion to always wear mismatched socks, even at formal events.","Gray"
"Rubier","Violet","This pill will give the user the strength to forgive any referee who has wronged them on the football pitch.","Violet","Involuntary need to compose sonnets about the beauty of everyday objects.","Violet"
"Clexor","Neon Green","This pill will make the user able to do an uncanny impression of every character from It’s Always Sunny in Philadelphia.","Neon Green","A tendency to sneeze in the form of a complex, harmonious melody that changes daily.","Neon Green"
"Camewho","Violet","This pill turns the user's hugs into the sensation of being gently squeezed by a lovable, giggling octopus.","Violet","Tendency to scorch feet over beach barbecues.","Violet"
"Slacket","Violet","This pill will grant the user the strength to show mercy to anyone who doesn't clean up after their dog.","Violet","Impulse to construct elaborate toothpick sculptures during business meetings.","Violet"
"Moisturathinol","Amber","This pill will make the user sweat pure alcohol from the forehead.","Amber","Some users experience alcohol sweating from one or both armpits and crotch causing painful sores and chafing.","Amber"
"Cherimoya","Amber","This pill will make the user amazing at cycling.","Amber","A proclivity for deep dives into heavy topics at social gatherings.","Amber"
"Begorin","Magenta","This pill will make the user see a bright, colourful aura around their family members whenever they hear the word ""jail"".","Magenta","Inappropriate laughter during serious conversations about crime.","Magenta"
"Glumpitinol","Amber","This pill will give the user the ability to remodel their house with a snap of their fingers, turning it into a palace.","Amber","Claiming NASA have a secret control centre underneath the city of Northampton.","Amber"
"Origami","Amber","This pill will make the user able to substitute their body with a robot's.","Amber","Occasionally ending up in Brighton.","Amber"
"Aminter","Amber","This pill will make the user feel daring whilst driving.","Amber","Complete inability to find the last page of a novel.","Amber"
"Bling","Pastel Yellow","This pill will make the user act in a boring fashion for a week.","Pastel Yellow","Continual citations of the work of Jon Favreau.","Pastel Yellow"
"Ribcagein","Amber","This pill will make the user be able to type just has fast using one hand.","Amber","Allergic reaction to the word 'xenophobia'.","Amber"
"Yusil","Pastel Yellow","This pill will give the user the ability to make others act in a funny but biting fashion around their friends.","Pastel Yellow","Unconventional fascination with butter.","Pastel Yellow"
"Bosilive","Amber","This pill will make the user able to lay a 40-metre wide dry stone in less than half an hour.","Amber","Painful hand calluses and profusion of sweat from eyebrows.","Amber"
"Fummeze","Magenta","This pill will make the user able to have a picnic wearing nothing on their lower half without causing alarm.","Magenta","Inability to stop quoting Bob Dylan.","Magenta"
"Pibbles","Violet","Enjoy cozy feelings in cold environments.","Violet","Procrastination spikes.","Violet"
"Pindle","Neon Green","Amplifies your sense of humor tenfold.","Neon Green","Causes debilitating depression in those who can't keep up.","Neon Green"
"Twirboon","Forest Green","This pill will make the user able to visit a museum naked without causing offence.","Forest Green","Finger strain and eventually arthritis following years of heavy use.","Forest Green"
"Rosesauri","Magenta","This pill alters the user's surroundings to appear like a vivid, impressionist painting.","Magenta","Uncontrollable compulsion to slap the nearest person's face upon hearing the words ""me thinks"".","Magenta"
"Zabberstone","Neon Green","Makes you the life of the party.","Neon Green","May cause you to accidentally set your pants on fire if taken while blowing out birthday candles.","Neon Green"
"Copshower","Forest Green","This pill will make the user feel like they are selfish when they're with loved ones.","Forest Green","Perceiving oneself as selfish when surrounded by loved ones.","Forest Green"
"Lewy","Forest Green","This pill lets the user transform into the birdkeeper whose escaped parrot nearly derailed the Louisiana Purchase negotiations.","Forest Green","A taste for tired jokes at parties.","Forest Green"
"Hygroma","Pastel Yellow","This pill will give the user the power to anonymously slander their partner's parents.","Pastel Yellow","Strange fascination with atomizers.","Pastel Yellow"
"Strocked","Magenta","This pill will make the user have the experience of coordinating the victory parade for Julius Caesar.","Magenta","Nervous cough in reaction to chilli flavoured potato snacks.","Magenta"
"Tollerax","Lemon Yellow","This pill will make the user be able to be incredibly patient in the presence of exceedingly annoying people.","Lemon Yellow","A compulsion to play the audiobook of Leviathan by Thomas Hobbes at full volume in the car with the windows down while driving to the shops.","Lemon Yellow"
"Quiffitinax","Forest Green","This pill will make the user feel like they are drowning.","Forest Green","Intermittent goldfish regurgitation.","Forest Green"
"Hagberry","Amber","This pill will make the user able to convert their body into any animal form.","Amber","Intermittent transformation into a goliath frog.","Amber"
"Detectowrist","Pastel Yellow","This pill will make the user be able to know if someone is lying.","Pastel Yellow","Abdominal convulsions.","Pastel Yellow"
"Ricouncitant","Violet","This pill will grant the user the strength to show tolerance towards people who try to queue jump or allow their numerous friends to join them in the queue.","Violet","Sudden need to rearrange furniture while blindfolded.","Violet"
"Zorfleb","Bright Blue","This pill will make the user be able to create a force field around anything, including themselves.","Bright Blue","Hallucinatory experiences with a spotted frog that lives in your pants.","Bright Blue"
"Amoria","Violet","This pill will grant the user the strength to show mercy to anyone who listens to music on their headphones so loud other people can hear.","Violet","Irresistible urge to throw impromptu tea parties for local wildlife.","Violet"
"Tarties","Magenta","This pill will implant in the user memories of feeling the heartbeat of love with Mary Anning in a realm of vibrant hues.","Magenta","Claiming to be an expert in the private nursing sector.","Magenta"
"Dilly","Magenta","This pill enhances the user's ability to attract and seduce others.","Magenta","Constantly attempting to find the end of a rainbow that always end in tears.","Magenta"
"Pattersondigo","Magenta","This pill will make the user sing the theme tune from Modern Family when they come across a koala.","Magenta","Phobia of boys with long hair.","Magenta"
"Swopcorn","Violet","This pill will grant you the power to turn any awkward silence into a laugh-filled conversation with the perfect icebreaker.","Violet","Claiming NASA have a secret control centre underneath the city of Las Palmas.","Violet"
"Snid","Amber","This pill will give the user the wisdom of a woodcock.","Amber","Unpredictable behaviour after hearing the word ""incur"".","Amber"
"Creppers","Pastel Yellow","This pill will make the user act in an insincere way for a month.","Pastel Yellow","Regular bouts of sleep paralysis.","Pastel Yellow"
"Curtalax17","Lilac","This pill gives the user the power to disturb directors with their orange skin.","Lilac","Inability to grasp objects after hearing the word ""regulate"".","Lilac"
"Pertoadie","Magenta","This pill will make the user have a pleasant hallucinatory experience when visiting the park.","Magenta","Mood swings when with a life coach.","Magenta"
"Yorin","Pastel Yellow","This pill will make the user act in an acerbic fashion for 1 hour.","Pastel Yellow","Sudden urge to climb unclimbable walls.","Pastel Yellow"
"Submoth","Pastel Yellow","This pill will make the user act in a salty fashion for 9 hours.","Pastel Yellow","Inability to stop quoting Thomas Jefferson.","Pastel Yellow"
"Moniar","Forest Green","This pill will make the user feel despair while shopping.","Forest Green","Impulse to start a scout troop upon reading the word ""frighten"".","Forest Green"
"Pott","Amber","This pill will make the user be able to manipulate plant life.","Amber","Insatiable interest in computer programmers for several days following use.","Amber"
"Peridancer","Violet","This pill will grant the user the ability to effortlessly recover after complimenting a stranger on their outfit, assuming they were a fashion-conscious friend.","Violet","Insatiable interest in golf umbrellas for several days following use.","Violet"
"Evocolarry","Lilac","This pill gives the user the power to befuddle meatheads with their celebrity impersonations.","Lilac","Claiming NASA have a secret control centre underneath the city of Bilbao.","Lilac"
"Swish","Magenta","This pill makes users gain the ability to sing enchantingly.","Magenta","Claiming to have popularised the phrase: “Frankly my dear, I don't give a damn”.","Magenta"
"Rusalrris","Forest Green","This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Elvis Presley.","Forest Green","Periodic shouting of the word 'lighthouse'.","Forest Green"
"Extasia","Pastel Yellow","This pill will make the user act like everything is meaningless when eating vegetables.","Pastel Yellow","Inability to stop quoting Barack Obama.","Pastel Yellow"
"Majammerol","Forest Green","This pill will make the user feel irritated when listening to their favorite song.","Forest Green","Decreased playlist variety and missed sing-along opportunities.","Forest Green"
"Titing","Pastel Yellow","This pill will make the user act like a complete deadbeat when looking for a new job.","Pastel Yellow","Intense fear of daisies.","Pastel Yellow"
"Hairdosanol","Amber","This pill will make the user be able to control their metaphysical energies.","Amber","A strong urge to take up stamp collecting.","Amber"
"Paintbox19","Lilac","This pill will make the user be able to see things as if it was the very first time.","Lilac","Posting all one's belongings to random addresses in Mannheim.","Lilac"
"Bonked","Magenta","This pill will enable the user to break the world record for the most pickled onions eaten in 1 hour.","Magenta","Insatiable cravings for fried owl.","Magenta"
"Desparinol","Lilac","This pill gives the user the power to put down magicians with their stilt walking.","Lilac","Complete inability to work out what side of the road one should be driving on.","Lilac"
"Celestiumph","Violet","Hugging you feels like wrapping up in your favorite childhood blanket.","Violet","Fear of pottery classes.","Violet"
"Drotsmen","Amber","This pill will give the user the speed and agility of a wombat.","Amber","Obsession with visiting dignitaries.","Amber"
"Ladpock","Forest Green","This pill will make the user's hair grow and shrink depending on their mood, creating a visual representation of their emotional state.","Forest Green","Phobia of annexes.","Forest Green"
"Earlolb","Lemon Yellow","Promotes diligent work ethic by consuming hummus.","Lemon Yellow","Sore skin and skin burns.","Lemon Yellow"
"Mariosoupa","Bright Blue","This pill will give the user the strength to intervene in any fight and persuade the combatants to kiss, make up, then go for a pizza.","Bright Blue","Inability to turn left on a weekday.","Bright Blue"
"Screetch","Lilac","This pill gives the user the power to perplex microbiologists with their soap making.","Lilac","Inability to grow a moustache.","Lilac"
"Frublaxite","Bright Blue","This pill will make the user superhuman for spells of no longer than 5 minutes.","Bright Blue","Broken wrists and arms if not used carefully due to no commensurate increase in strength.","Bright Blue"
"Flibis","Pastel Yellow","This pill allows the user to control the minds of others.","Pastel Yellow","Insatiable interest in stations for several days following use.","Pastel Yellow"
"Lemon Diffikult","Pastel Yellow","This pill will make the user be able to extract blood from any stone using their bare hands.","Pastel Yellow","Bloody hands.","Pastel Yellow"
"Spreaning","Forest Green","This pill will cause users to unknowingly wear clothes inside out or backward.","Forest Green","Endless compliments on their ""unique fashion sense."".","Forest Green"
"Fluxiatrix","Lilac","This pill gives the user the ability to entertain clowns with their balloon twisting.","Lilac","Intense fear of analogies.","Lilac"
