ID	NAME	Primary Compound	Secondary Compound	Effect	Side-Effect	Expression	Expression	Total Count	Group Size (Rarity)	Group Name	Color (Hex)	Color (RGB)
1694	Trixiglare	#903ef9	#903ef9	This pill allows the user to telepathically communicate with others over long distances.	Constantly surrounded by a gentle breeze.	#00ffff						
1695	Jegs	#ff00ff	#ff00ff	This pill lets the user experience the embarrassment of the scientist who accidentally discovered a new species of bacteria while trying to clean their dirty microscope lens.	Giving off a faint odour of wombat.	#38761d						
1696	Aetherius	#ff00ff	#ff00ff	This pill gives the user the power to amuse majors with their falconry skills.	Unpredictable behaviour after hearing the word "fork".	#cb97ff						
1697	Barmegines	#903ef9	#fc8300	This pill will make the user sing the theme tune from The Simpsons when they come across a turtle.	Constantly trying to convice people to take part in sack races.	#ff00ff						
1698	Calmilious	#54e507	#54e507	This pill will make the user be able to shake hands through their computer screen.	Quickly morphing into a gazelle.	#ff9900						
1699	Carnifex20	#ffde00	#ff00ff	Party with historical figures in the colourful streets of Timbuktu	Irresistible urge to serenade local wildlife.	#ff00ff						
1700	Fereburries	#54e507	#54e507	This pill will implant in the user memories of feeling a deep connection with Sacagawea as colours harmonize around them.	Claiming to be an expert in aeronautics and aviation science.	#ff00ff						
1701	Zumbalor	#ffedd7	#54e507	This pill will make the user courageous when visiting a partner's parents for the first time (on their territory).	Possible loss of filter while conversing.	#0000ff						
1702	Moflium	#54e507	#903ef9	This pill calms the mind and promotes lucid dreaming.	Dreams filled with soothing elevator music.	#ff9900						
1703	Pneumia	#ff00ff	#ff00ff	This pill gives the user the power to discompose kings with their taxidermy.	Inability to stop quoting Boris Johnson.	#cb97ff						
1704	Sleiched	#54e507	#ffde00	This pill enhances the user's ability to breathe and move underwater.	Inability to resist the urge to swim with pool noodles.	#ff9900						
1705	Squair	#ffde00	#ff00ff	This pill will enable users to create an aura of kindness and warmth, making everyone around them feel loved and appreciated.	Intense fear of gardening gloves.	#9900ff						
1706	Straline	#903ef9	#ff00ff	This pill will make the user feel despair when concentrating.	Incorrect use of the word 'venerable'.	#38761d						
1707	Chazard	#ffde00	#903ef9	This pill will make the user lose their mind whenever they encounter egos.	Esoteric fascination with IOTA	#38761d						
1708	Curidges	#ffedd7	#ffde00	This pill will make the user feel happy when with their partner’s parents.	Constant need to throw things following habitual use.	#ff00ff						
1709	Guavax	#ffde00	#ffedd7	Bolsters hard work by eating dumplings	Negative feelings towards Hollywood dentists reported by some users.	#ffff00						
1710	Lartoon	#54e507	#ffde00	This pill will make the user able to modulate their voice to mimic any celebrity.	Embarrassing skin rash in reaction to military unifirms.	#ff9900						
1711	Glintles	#ff00ff	#ffde00	This pill will make the user feel like they used to be in an all alpha male boyband in the 90s.	Lamenting of lost youth and unfulfilled potential.	#38761d						
1712	Aftergurn	#ffde00	#54e507	This pill will allow digital beings to experience the feeling of laughter when they encounter a particularly amusing piece of digital content, connecting them with the joy of human humor.	Hearing voices coming from an egg and cress sandwich.	#9900ff						
1713	Gloguld	#ff00ff	#54e507	This pill will make the user feel loving when with their partner’s parents.	Due to the fact it won't actually be fresh this pill can be detrimental to the user’s romantic relationships.	#9900ff						
1714	Chink	#ffde00	#ff00ff	This pill will give the user the ability to empathize with individuals who have accidentally walked into the wrong restroom.	Intense fear of support groups.	#9900ff						
1715	Astragenax	#54e507	#fc8300	This pill will make the user be able to grow the biggest cucumbers.	Intermittent morphing into a beluga sturgeon.	#ffff00						
1716	Rosebuddie	#54e507	#903ef9	This pill eases the sadness felt when a favourite TV series ends.	Can make sub-par TV programs seem far better than they are, leading to embarassing social interactions.	#ffff00						
1717	Numinator	#903ef9	#ffde00	This pill allows those with a low tolerance for douchebags to not dismiss the feelings of EDM DJs.	Astonished body language.	#9900ff						
1718	Blooden	#54e507	#ff00ff	This pill empowers the user to provide solace to those who can't remember the punchline of their own joke.	Constant citations of the work of James Cameron.	#9900ff						
1719	Tusqle	#903ef9	#54e507	This pill allows the user to manipulate the movement of objects with their mind.	Irresistible urge to levitate random objects at inconvenient moments.	#000000						
1720	Guerra	#ff00ff	#903ef9	This pill will make the user have the experience of admiring the unveiling of the Sistine Chapel with Michelangelo.	Loss of bladder control upon hearing the word "logical".	#ff00ff						
1721	Boglera	#ff00ff	#ffde00	This pill will massively increase the user’s cunning and wiliness during business negotiations.	Inability to trust anyone, even when not involved in negotiations.	#999999						
1722	Rubier	#54e507	#0bc4ff	This pill will give the user the strength to forgive any referee who has wronged them on the football pitch.	Involuntary need to compose sonnets about the beauty of everyday objects.	#9900ff						
1723	Clexor	#54e507	#54e507	This pill will make the user able to do an uncanny impression of every character from It’s Always Sunny in Philadelphia.	A tendency to sneeze in the form of a complex, harmonious melody that changes daily.	#00ff00						
1724	Camewho	#54e507	#903ef9	This pill turns the user's hugs into the sensation of being gently squeezed by a lovable, giggling octopus.	Tendency to scorch feet over beach barbecues.	#9900ff						
1725	Slacket	#ff00ff	#ffde00	This pill will grant the user the strength to show mercy to anyone who doesn't clean up after their dog.	Impulse to construct elaborate toothpick sculptures during business meetings.	#9900ff						
1726	Moisturathinol	#ffedd7	#54e507	This pill will make the user sweat pure alcohol from the forehead.	Some users experience alcohol sweating from one or both armpits and crotch causing painful sores and chafing.	#ff9900						
1727	Cherimoya	#903ef9	#ff0000	This pill will make the user amazing at cycling.	A proclivity for deep dives into heavy topics at social gatherings.	#ff9900						
1728	Begorin	#54e507	#ff00ff	This pill will make the user see a bright, colourful aura around their family members whenever they hear the word "jail".	Inappropriate laughter during serious conversations about crime.	#ff00ff						
1729	Glumpitinol	#ffde00	#ff00ff	This pill will give the user the ability to remodel their house with a snap of their fingers, turning it into a palace.	Claiming NASA have a secret control centre underneath the city of Northampton.	#ff9900						
1730	Origami	#ff00ff	#ffedd7	This pill will make the user able to substitute their body with a robot's.	Occasionally ending up in Brighton.	#ff9900						
1731	Aminter	#903ef9	#ff00ff	This pill will make the user feel daring whilst driving.	Complete inability to find the last page of a novel.	#ff9900						
1732	Bling	#ffedd7	#903ef9	This pill will make the user act in a boring fashion for a week.	Continual citations of the work of Jon Favreau.	#ffd966						
1733	Ribcagein	#54e507	#ffde00	This pill will make the user be able to type just has fast using one hand.	Allergic reaction to the word 'xenophobia'.	#ff9900						
1734	Yusil	#ff00ff	#ffde00	This pill will give the user the ability to make others act in a funny but biting fashion around their friends.	Unconventional fascination with butter.	#ffd966						
1735	Bosilive	#ff00ff	#fc8300	This pill will make the user able to lay a 40-metre wide dry stone in less than half an hour.	Painful hand calluses and profusion of sweat from eyebrows.	#ff9900						
1736	Fummeze	#fc8300	#fc8300	This pill will make the user able to have a picnic wearing nothing on their lower half without causing alarm.	Inability to stop quoting Bob Dylan.	#ff00ff						
1737	Pibbles	#ff00ff	#ff00ff	Enjoy cozy feelings in cold environments.	Procrastination spikes.	#9900ff						
1738	Pindle	#54e507	#54e507	Amplifies your sense of humor tenfold	Causes debilitating depression in those who can't keep up.	#00ff00						
1739	Twirboon	#ff00ff	#903ef9	This pill will make the user able to visit a museum naked without causing offence.	Finger strain and eventually arthritis following years of heavy use.	#38761d						
1740	Rosesauri	#54e507	#ff00ff	This pill alters the user's surroundings to appear like a vivid, impressionist painting	Uncontrollable compulsion to slap the nearest person's face upon hearing the words "me thinks".	#ff00ff						
1741	Zabberstone	#ffde00	#ff00ff	Makes you the life of the party	May cause you to accidentally set your pants on fire if taken while blowing out birthday candles	#00ff00						
1742	Copshower	#903ef9	#0bc4ff	This pill will make the user feel like they are selfish when they're with loved ones.	Perceiving oneself as selfish when surrounded by loved ones.	#38761d						
1743	Lewy	#ffde00	#ff00ff	This pill lets the user transform into the birdkeeper whose escaped parrot nearly derailed the Louisiana Purchase negotiations.	A taste for tired jokes at parties.	#38761d						
1744	Hygroma	#0bc4ff	#ffde00	This pill will give the user the power to anonymously slander their partner's parents.	Strange fascination with atomizers.	#ffd966						
1745	Strocked	#ffde00	#54e507	This pill will make the user have the experience of coordinating the victory parade for Julius Caesar.	Nervous cough in reaction to chilli flavoured potato snacks.	#ff00ff						
1746	Tollerax	#54e507	#54e507	This pill will make the user be able to be incredibly patient in the presence of exceedingly annoying people.	A compulsion to play the audiobook of Leviathan by Thomas Hobbes at full volume in the car with the windows down while driving to the shops.	#ffff00						
1747	Quiffitinax	#ffde00	#ffde00	This pill will make the user feel like they are drowning.	Intermittent goldfish regurgitation.	#38761d						
1748	Hagberry	#54e507	#54e507	This pill will make the user able to convert their body into any animal form.	Intermittent transformation into a goliath frog.	#ff9900						
1749	Detectowrist	#fc8300	#ffde00	This pill will make the user be able to know if someone is lying.	Abdominal convulsions.	#ffd966						
1750	Ricouncitant	#54e507	#903ef9	This pill will grant the user the strength to show tolerance towards people who try to queue jump or allow their numerous friends to join them in the queue.	Sudden need to rearrange furniture while blindfolded.	#9900ff						
1751	Zorfleb	#ffde00	#ff00ff	This pill will make the user be able to create a force field around anything, including themselves.	Hallucinatory experiences with a spotted frog that lives in your pants.	#0000ff						
1752	Amoria	#54e507	#ffde00	This pill will grant the user the strength to show mercy to anyone who listens to music on their headphones so loud other people can hear.	Irresistible urge to throw impromptu tea parties for local wildlife.	#9900ff						
1753	Tarties	#ff00ff	#54e507	This pill will implant in the user memories of feeling the heartbeat of love with Mary Anning in a realm of vibrant hues.	Claiming to be an expert in the private nursing sector.	#ff00ff						
1754	Dilly	#ff00ff	#54e507	This pill enhances the user's ability to attract and seduce others.	Constantly attempting to find the end of a rainbow that always end in tears.	#ff00ff						
1755	Pattersondigo	#54e507	#ffedd7	This pill will make the user sing the theme tune from Modern Family when they come across a koala.	Phobia of boys with long hair.	#ff00ff						
1756	Swopcorn	#ff00ff	#ffde00	This pill will grant you the power to turn any awkward silence into a laugh-filled conversation with the perfect icebreaker.	Claiming NASA have a secret control centre underneath the city of Las Palmas.	#9900ff						
1757	Snid	#903ef9	#903ef9	This pill will give the user the wisdom of a woodcock.	Unpredictable behaviour after hearing the word "incur".	#ff9900						
1758	Creppers	#54e507	#ff00ff	This pill will make the user act in an insincere way for a month.	Regular bouts of sleep paralysis.	#ffd966						
1759	Curtalax17	#ff00ff	#ff00ff	This pill gives the user the power to disturb directors with their orange skin.	Inability to grasp objects after hearing the word "regulate".	#cb97ff						
1760	Pertoadie	#903ef9	#54e507	This pill will make the user have a pleasant hallucinatory experience when visiting the park.	Mood swings when with a life coach.	#ff00ff						
1761	Yorin	#54e507	#ff00ff	This pill will make the user act in an acerbic fashion for 1 hour.	Sudden urge to climb unclimbable walls.	#ffd966						
1762	Submoth	#903ef9	#54e507	This pill will make the user act in a salty fashion for 9 hours.	Inability to stop quoting Thomas Jefferson.	#ffd966						
1763	Moniar	#ffde00	#54e507	This pill will make the user feel despair while shopping.	Impulse to start a scout troup upon reading the word "frighten".	#38761d						
1764	Pott	#54e507	#ff00ff	This pill will make the user be able to manipulate plant life.	Insatiable interest in computer programmers for several days following use.	#ff9900						
1765	Peridancer	#ffde00	#ff00ff	This pill will grant the user the ability to effortlessly recover after complimenting a stranger on their outfit, assuming they were a fashion-conscious friend.	Insatiable interest in golf umbrellas for several days following use.	#9900ff						
1766	Evocolarry	#ff00ff	#ffde00	This pill gives the user the power to befuddle meatheads with their celebrity impersonations.	Claiming NASA have a secret control centre underneath the city of Bilbao.	#cb97ff						
1767	Swish	#ffde00	#54e507	This pill makes users gain the ability to sing enchantingly	Claiming to have popularised the phrase: “Frankly my dear, I don’t give a damn”	#ff00ff						
1768	Rusalrris	#54e507	#fc8300	This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Elvis Presley.	Periodic shouting of the word 'lighthouse'.	#38761d						
1769	Extasia	#ffde00	#54e507	This pill will make the user act like everything is meaningless when eating vegetables.	Inability to stop quoting Barack Obama.	#ffd966						
1770	Majammerol	#0bc4ff	#ffedd7	This pill will make the user feel irritated when listening to their favorite song	Decreased playlist variety and missed sing-along opportunities.	#38761d						
1771	Titing	#ff00ff	#ff00ff	This pill will make the user act like a complete deadbeat when looking for a new job.	Intense fear of daisies.	#ffd966						
1772	Hairdosanol	#ffde00	#ffde00	This pill will make the user be able to control their metaphysical energies.	A strong urge to take up stamp collecting.	#ff9900						
1773	Paintbox19	#ff00ff	#ffedd7	This pill will make the user be able to see things as if it was the very first time.	Posting all one's belongings to random addresses in Mannheim.	#cb97ff						
1774	Bonked	#54e507	#54e507	This pill will enable the user to break the world record for the most pickled onions eaten in 1 hour.	Insatiable cravings for fried owl.	#ff00ff						
1775	Desparinol	#ff00ff	#ffde00	This pill gives the user the power to put down magicians with their stilt walking.	Complete inability to work out what side of the road one should be driving on.	#cb97ff						
1776	Celestiumph	#ff00ff	#54e507	Hugging you feels like wrapping up in your favorite childhood blanket.	Fear of pottery classes.	#9900ff						
1777	Drotsmen	#ff00ff	#ffde00	This pill will give the user the speed and agility of a wombat.	Obsession with visiting dignitaries.	#ff9900						
1778	Ladpock	#ffde00	#ff00ff	This pill will make the user's hair grow and shrink depending on their mood, creating a visual representation of their emotional state	Phobia of annexes.	#38761d						
1779	Earlolb	#ffde00	#ff00ff	Promotes diligent work ethic by consuming hummus	Sore skin and skin burns.	#ffff00						
1780	Mariosoupa	#0bc4ff	#g0Ld1e	This pill will give the user the strength to intervene in any fight and persuade the combatants to kiss, make up, then go for a pizza.	Inability to turn left on a weekday.	#0000ff						
1781	Screetch	#ff00ff	#54e507	This pill gives the user the power to perplex microbiologists with their soap making.	Inability to grow a moustache.	#cb97ff						
1782	Frublax	#ff00ff	#ff00ff	This pill will make the user superhuman for spells of no longer than 5 minutes.	Broken wrists and arms if not used carefully due to no commensurate increase in strength.	#0000ff						
1783	Flibis	#903ef9	#fc8300	This pill allows the user to control the minds of others.	Insatiable interest in stations for several days following use.	#ffd966						
1784	Lemon Diffikult	#fc8300	#ffde00	This pill will make the user be able to extract blood from any stone using their bare hands.	Bloody hands.	#ffd966						
1785	Spreaning	#ffde00	#54e507	This pill will cause users to unknowingly wear clothes inside out or backward	Endless compliments on their "unique fashion sense."	#38761d						
1786	Fluxiatrix	#903ef9	#ff00ff	This pill gives the user the ability to entertain clowns with their balloon twisting.	Intense fear of analogies.	#cb97ff						
1787	Wabzex	#ff00ff	#fc8300	This pill will give the user the ability to decentralise any financial or governmental institution by inputting its name 5 times into a mirror server.	Accidentally decentralizing their own personal finances, rendering their bank account inaccessible.	#b4a7d6						
1788	Seraphinite	#ff00ff	#54e507	Witness a fireworks extravaganza in technicolour alongside Cleopatra in Llanfairpwllgwyngyll	Inclination to knit scarves for statues.	#ff00ff						
1789	Hippers	#ffedd7	#0bc4ff	This pill will make the user feel like they have gone rogue from their top-secret organization	Erratic behavior and attempts to "complete the mission" can lead to real-life consequences.	#38761d						
1790	Barye	#ffedd7	#ffedd7	This pill will give the user the ability to fall into a state of wonderment upon seeing two or more species of bird interacting with one another.	Developing a mild telepathic connection with garden gnomes.	#cb97ff						
1791	Mecrorhil	#903ef9	#ff00ff	This pill will enable the user to identify any tree then ascend it like a squirrel.	Vertigo.	#ff9900						
1792	Mirepoix19	#ffde00	#0bc4ff	This pill will make the user have an intense hallucinatory experience when visiting the in-laws.	Hallucinating bizarre family secrets during visits to the in-laws.	#38761d						
1793	Glaint	#ffedd7	#fc8300	This pill will make the user shout lines from CSI: New York when they come across a chimpanzee.	Quoting CSI: New York lines while observing chimpanzees.	#38761d						
1794	Squeak	#903ef9	#0bc4ff	This pill will give the user devastatingly impeccable dress sense.	Inexplicably starting to dress in Victorian-era attire.	#ff00ff						
1795	Fyrewall	#ffde00	#ffde00	This pill will give the user focus when faced with 50+ open browser tabs.	Memorable hallucinatory experiences with a Chihuahua.	#ffff00						
1796	Mancers	#903ef9	#ffedd7	This pill will give the user the ability to startle people into handing over their Haribo.	Unexpected sugar crashes.	#cb97ff						
1797	Eimeria	#ffde00	#ffedd7	This pill will make the user be able to turn their Megapont ape into a pet.	Developing an irresistible urge to train exotic pets for circus performances.	#ff00ff						
1798	Stigs	#ffde00	#ffde00	This pill gives the user the power to mix up lawyers with their speed paper shuffling.	Stomach twitching in reaction to radishes in salads.	#cb97ff						
1799	Lazapraside	#ff00ff	#54e507	This pill encourages provocation of others.	Compulsion to start a support group upon reading the word "yummy".	#38761d						
1800	Wurbex	#0bc4ff	#ffedd7	This pill will make the user feel heroic when they see a pigeon in distress.	Compulsion to feed city birds.	#0000ff						
1801	Eyeglassopane	#903ef9	#ffde00	This pill will make the user be able to read one sentence of a children's book and the child will fall asleep.	Overuse of the word 'bifurcate'.	#ff00ff						
1802	Zerth	#ff00ff	#ff00ff	This pill will grant the user the ability to comfort people who have accidentally spilled food on themselves in public.	Uncontrollable frothing from the mouth upon hearing the phrase "buy-in".	#9900ff						
1803	Gupzo	#903ef9	#ffde00	This pill will make the user have a funny quip in answer to any spoken statement.	Humour is subjective and excessive use may result in verbal or physical violence directed at user.	#00ff00						
1804	Smushtonite	#ffde00	#ffde00	This pill allows the user to travel to and manipulate the astral plane.	Uncontrollable cravings for pumpkin casserole.	#ffd966						
1805	Shapted	#903ef9	#ff00ff	This pill will implant in the user memories of enjoying an oxymoronic soiree with famous thinkers in Coober Pedy.	Accidentally becoming an often cited expert in chamber music.	#ff00ff						
1806	Etherion	#ffde00	#54e507	This pill will make the user be able to deep sleep for exactly 20 minutes.	Amnesia on waking and bed-wetting.	#ffff00						
1807	ChanelVyse	#ff0000	#ffedd7	This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Coco Chanel.	Suddenly feeling an irresistible urge to design eccentric haute couture fashion.	#38761d						
1808	Ethereaph	#ffde00	#0bc4ff	This pill grants the user the ability to feel strong compassion towards struggling street performers despite finding them annoying.	Uncontrollable compulsion to slap the nearest person's face upon hearing the word "sink".	#9900ff						
1809	Turvix	#903ef9	#54e507	This pill will make the user an expert in evolutionary oceanography.	Intense love for seashell jewelry	#741b47						
1810	Slippoon	#54e507	#0bc4ff	This pill will give the user the feeling of having major religious moments while attending the annual Global Atheist Convention.	Involuntarily humming national anthems when brushing teeth.	#cb97ff						
1811	Piercenia	#ffde00	#ff00ff	This pill will give the user the power to forgive any neighbour who thoughtlessly violated their privacy with CCTV.	Inability to resist eavesdropping on others' conversations and offering unsolicited advice.	#9900ff						
1812	Spiffoon	#ff0000	#903ef9	This pill will make the user feel like they are generous when they're with loved ones.	Becoming an impulsive gift giver, even to complete strangers.	#ff00ff						
1813	Millytonite	#ff00ff	#ffde00	This pill will make the user be able to fuse bodies with anyone they're attracted to.	Intermittent competing over motor functions and confused speech.	#ff9900						
1814	Barnerot	#54e507	#903ef9	This pill will make the user be able to face their biggest fear.	Difficulty recognizing personal boundaries, leading to bold actions.	#9900ff						
1815	Kadreotrium	#fc8300	#ffde00	This pill will make the user be able to call upon the Darkness to take out their enemies.	Temporary transmogrification into an anchworm.	#38761d						
1816	Yogyogs	#ff00ff	#ffde00	This pill brings endless fun and laughter when performing as a mime.	Claiming to have popularised the phrase: “You’re the man now, dog!”	#ff00ff						
1817	Omifi	#ff00ff	#ff00ff	This pill will make the user an expert in stereohydrostatistics.	Inability to stop quoting Ronald McDonald	#741b47						
1818	Lizoon	#ff00ff	#903ef9	This pill lets the user embody the mapmaker who almost stranded Magellan's fleet with a wildly inaccurate map.	A tendency towards blaming people for one's own problems at parties.	#38761d						
1819	Tunchy	#ffedd7	#ff00ff	This pill will make the user able to revolutionize the world with a groundbreaking invention.	Inability to stop quoting Adele.	#ff9900						
1820	Procrastinull	#ffde00	#ff00ff	Temporarily cures chronic procrastination	may cause hyperactivity and the urge to complete every task immediately.	#ff9900						
1821	Sesheurium	#fc8300	#ff00ff	This pill will make the user feel ashamed when with their partner’s parents.	Incorrect use of the word 'garrulous'.	#38761d						
1822	Celestialite	#ff00ff	#0bc4ff	This pill lets the user resist the urge to eat an entire packet of biscuits.	Claiming NASA have a secret control centre underneath the city of Riga.	#ffff00						
1823	Gwixil	#903ef9	#ffedd7	This pill will give the user the strength to be bold when making decisions that affect their career.	Temporary overconfidence in their abilities.	#0000ff						
1824	Bloppiche	#ff00ff	#fc8300	This pill gives the user the ability to move school pupils with their sewing.	Cravings for fried chicken just as one's falling asleep.	#cb97ff						
1825	Twirbles	#54e507	#ffedd7	This pill will enable the user to carry up to 7 heavy shopping bags with their pinkie finger.	Users report permanent unsightly elongation of one or both arms following prolonged use.	#ff9900						
1826	Maghreb	#0bc4ff	#54e507	This pill allows those with a low tolerance for douchebags to not dismiss the feelings of Wall Street traders.	Answering every question with: "It is against the law to pass a horse on the street."	#9900ff						
1827	Weelopane	#903ef9	#903ef9	The pill enhances the user's perception of colours	Potentially unhealthy obsession with Friends.	#ff00ff						
1828	Chaintwizzle	#ff00ff	#fc8300	This pill gives the user the power to engross male strippers with their puzzle solving.	Uncontrolable moustache growth.	#cb97ff						
1829	Euphorigenax	#ffde00	#903ef9	This pill will give the user the ability to mutate and adapt to new environments and challenges.	May cause sudden and uncontrollable voice cracking if taken during a Justin Bieber concert.	#ff9900						
1830	Fregmin	#ffedd7	#54e507	This pill gives the user the ability to create laughter at dinner parties by embracing unconventional perspectives.	Uncontrollable urge to break into strangers houses when it's been established there is a dinner party in progress.	#ea9999						
1831	Firds	#ffedd7	#903ef9	This pill will make the user be able to turn anyone into stone by touching them.	Arms become impossible to lift due to effect cross contamination,.	#ff9900						
1832	Exurbia	#ff00ff	#ffde00	This pill will give the user the ability to make others to make only unsubstantial statements when talking to work colleagues.	Inability to stop quoting Lao Tzu.	#ffd966						
1833	Knaped	#fc8300	#ff00ff	This pill will give the user the sensory abilities of a dunnock.	Intense fear of pistachios.	#ff9900						
1834	ZenZinger	#ff00ff	#ff00ff	This pill will make the user feel at peace during rush hour.	Compulsion to practice yoga poses while waiting at traffic lights.	#9900ff						
1835	Roadies	#ff00ff	#54e507	This pill will enable the user to acquire the skill to create heartwarming, personalized poems for anyone they meet.	Strange hallucinatory experiences with a night adder.	#9900ff						
1836	Jackfruiz	#ff00ff	#ff00ff	This pill will give the user the ability to summon a group of trained squirrels to perform tricks on command.	Inability to walk sideways following heavy use.	#ff9900						
1837	Lulo	#ff00ff	#54e507	This pill will give the user the ability to outrun corporate lawyers.	Intense fear of clinches.	#ff9900						
1838	Intermix17	#ffde00	#ffedd7	Feel relaxed in rushed situations.	Obsession with shadows.	#9900ff						
1839	Cromps	#54e507	#ff00ff	This pill reminds people of their most comforting and calming experiences with a gentle tap from the user.	A feeling of great discomfort towards skirts affecting a large proportion of users.	#9900ff						
1840	Blibbex	#ffde00	#ffedd7	This pill will give the user the strength to be bold when speaking to the subject of their desires.	May cause temporary infatuation with inanimate objects.	#0000ff						
1841	Rigibuffe	#54e507	#ffde00	This pill will make the user be able to turn footpath puddles into fully intact horse placentas.	Strange impulse to sing sea shanties in public restrooms.	#7f6000						
1842	Jiffytonite	#903ef9	#ffedd7	This pill will make the user wise beyond their years.	Adverse physiological reaction to doctors reported by some users.	#9900ff						
1843	Begorix	#ff00ff	#903ef9	The power to make time go backwards	Uncontrollable urge to rewind time during awkward conversations.	#000000						
1844	Disturbo	#54e507	#ffde00	This pill gives the user the ability to expand small swimming pools with their fists.	Side effects may include confusion and chaos in social situations if taken during a dinner party.	#38761d						
1845	Crewmate	#0bc4ff	#ffde00	This pill will make the user burst into tears upon seeing some sand paper.	Grief-stricken upon encountering sandpaper.	#38761d						
1846	Chaintwist	#ff00ff	#ffde00	This pill will make the user be measly with their sweets and snacks but generous in all other ways.	Disdain towards natural sponges reported by some users.	#ffd966						
1847	Glimite	#54e507	#ffde00	This pill will make the user feel disgruntled in the workplace.	Giving off a stench of rotten giraffe.	#38761d						
1848	Intrasolace	#ff00ff	#ff00ff	This pill allows the user to summon a stream of bubbles from any body of water they touch.	Slippery hands and an addiction to bubble baths.	#7f6000						
1849	Bedge	#ffedd7	#fc8300	This pill will leave the user dumbfounded when they try and grab the food from full-size menu pictures outside Spanish restaurants.	Frequent disappointment at mealtime.	#cb97ff						
1850	Fierer	#ffde00	#54e507	This pill will make the user able to read a newspaper while covered in peanut butter without causing offence.	Trying to drum up local support for goose pulling.	#ff00ff						
1851	Impulsilive	#ff00ff	#ffde00	This pill will give the user the ability to speak in puns and dad jokes at all times.	Telling anyone that make eye contact with you: "In Baltimore, it is illegal to wash or scrub sinks no matter how dirty they get."	#ff9900						
1852	Dood	#fc8300	#0bc4ff	This pill will give the user the power to forgive any talk radio presenter who did them wrong.	Sudden fascination with recreating famous paintings using only vegetables.	#9900ff						
1853	Hottersh	#ffedd7	#ffde00	This pill will give the user game-changing thoughts on how to better their life when boiling farfalle pasta.	Intriguing hallucinatory experiences with a green sunfish.	#cb97ff						
1854	Nuallen	#ffedd7	#ffde00	This pill will make the user able to spend time with friends dressed in a bra and knickers without creating a scene.	Fleeting transmogrification into a horned lizard.	#38761d						
1855	Mabz	#ffde00	#0bc4ff	This pill allows the user to transform into any creature or object they can imagine.	Uncontrollable urge to mimic accents of nearby people.	#ff9900						
1856	Skiff	#903ef9	#ffde00	This pill will grant the user the strength to show mercy to anyone who uses ALL CAPS in emails to make a point.	Involuntary need to hold deep philosophical conversations with appliances.	#9900ff						
1857	Meam	#ff00ff	#54e507	This pill will leave the user astonished at people with beards.	Inability to maintain eye contact with bearded individuals.	#cb97ff						
1858	Whirboon	#ff00ff	#ffde00	This pill will make the user seem super sharp when bantering with work colleagues.	Compelling need to write "cabbage" on any blank page.	#ffd966						
1859	Yafty	#ffde00	#ff00ff	This pill will give the user the ability to merge with any object they touch, becoming a human-object hybrid.	A talent for tedious anecdotes on the dancefloor.	#ff9900						
1860	Smeytrium	#ffedd7	#54e507	This pill will make the user amazing at volleyball.	A strong urge to take up conker smashing.	#ff9900						
1861	Intifittle	#ffedd7	#54e507	This pill will give the user the power to show mercy to anyone they caught rummaging through their bins for bank statements.	Compulsion to create a calendar featuring the world's most bizarre holiday traditions.	#9900ff						
1862	Vegetal	#54e507	#903ef9	This pill will make the user have a pleasant hallucinatory experience when visiting the birthplace of Andy Warhol.	Talking to plants and becoming upset when they don't talk back.	#ff00ff						
1863	Maf	#ffde00	#903ef9	This pill will make the user's calves tingle upon seeing fat ginger cats.	Pathological hatred of salmon.	#cb97ff						
1864	Auroragen	#fc8300	#ffedd7	This pill will make the user be able to grow strawberries all year round.	Facial contortions when listening to vinyl records.	#ffff00						
1865	Shunnel	#ff00ff	#54e507	This pill will give the user the feeling of a soft, gentle rain that cleanses the soul.	Inability to not draw similarities between oneself and Harold Lloyd.	#9900ff						
1866	Browndock	#54e507	#ffde00	This pill will give the user the ability to be understanding towards people who talk loudly on their phones in public places.	Compulsive hoarding.	#9900ff						
1867	Prog-raker	#54e507	#ffedd7	This pill thrusts users into a thrilling volcanic expedition.	Regularly mistaking one's romantic partner for a kale smoothie.	#ff00ff						
1868	Luttish	#54e507	#54e507	This pill will make the user sing the theme tune from Saturday Night Live whenever they see an image of a bee.	Seeing everything in black and white.	#ff00ff						
1869	Cheefer	#ffde00	#903ef9	This pill will make the user feel like the most interesting person amongst any group of up to 15 people.	Exponential drop off of perceived interest by others in groups larger than prescribed maximum.	#ff00ff						
1870	Bafflerider	#ffedd7	#54e507	This pill will make the user feel confused by simple dance moves	Involuntary desire to dance off-beat at all times.	#38761d						
1871	Terraformadol	#ff00ff	#54e507	This pill gives the user the power to hypnotise bagpipers with their hair flicking.	Annoyed body language.	#cb97ff						
1872	Bloop	#ffde00	#ff00ff	This pill gives the user the ability to discombobulate seagulls with their wind surfing.	Intense fear of helicopters.	#cb97ff						
1873	Knag	#ffde00	#ff00ff	This pill will give the user the ability to make others have a completely blank expression for a month.	Complete inability to tell the difference between sweets and pebbles.	#ffd966						
1874	Littimer	#0bc4ff	#ffedd7	This pill will give the user the power to never lose bets with forensic scientists.	Passionately, yet misguidedly, pursuing a career in forensic science.	#ff00ff						
