#,seed,score,hitRate,alg11,pal,scale,melodic
852,"0j549p3w",0.417,"8%","1/12",0,"n/a","—"
853,"dghl5cbj",0.417,"8%","1/12",0,"n/a","—"
854,"s72xm7cj",0.417,"8%","1/12",0,"n/a","—"
855,"wg3fkzj3",0.417,"8%","1/12",0,"n/a","—"
856,"upyw0tjp",0.417,"8%","1/12",0,"n/a","—"
857,"pu7t336u",0.417,"8%","1/12",0,"n/a","—"
858,"17bic6re",0.417,"8%","1/12",0,"n/a","—"
859,"vm1lhfwa",0.417,"8%","1/12",0,"n/a","—"
860,"sa5yn8m9",0.417,"8%","1/12",0,"n/a","—"
861,"vvbra4cz",0.417,"8%","1/12",0,"n/a","—"
862,"iva3uaok",0.417,"8%","1/12",0,"n/a","—"
863,"ej0o9666",0.417,"8%","1/12",0,"n/a","—"
864,"xhwsaua8",0.417,"8%","1/12",0,"n/a","—"
865,"lvd3lzkw",0.417,"8%","1/12",0,"n/a","—"
866,"cykd480j",0.417,"8%","1/12",0,"n/a","—"
867,"a881w9jf",0.417,"8%","1/12",0,"n/a","—"
868,"t193val1",0.417,"8%","1/12",0,"n/a","—"
869,"ruqddken",0.417,"8%","1/12",0,"n/a","—"
870,"c2dwdc33",0.417,"8%","1/12",0,"n/a","—"
871,"f5xi64w3",0.417,"8%","1/12",0,"n/a","—"
872,"x3t35hzd",0.417,"8%","1/12",0,"n/a","—"
873,"7cqc3icf",0.417,"8%","1/12",0,"n/a","—"
874,"a8uo32ay",0.417,"8%","1/12",0,"n/a","—"
875,"z9ek9rhd",0.417,"8%","1/12",0,"n/a","—"
876,"kww9isqi",0.417,"8%","1/12",0,"n/a","—"
877,"gyqegbmb",0.417,"8%","1/12",0,"n/a","—"
878,"eestfp0b",0.417,"8%","1/12",0,"n/a","—"
879,"qm8o5d51",0.417,"8%","1/12",0,"n/a","—"
880,"4zmgo7en",0.417,"8%","1/12",0,"n/a","—"
881,"lvoclyt4",0.417,"8%","1/12",0,"n/a","—"
882,"7nrmxjuf",0.417,"8%","1/12",0,"n/a","—"
883,"4wrxhyvk",0.417,"8%","1/12",0,"n/a","—"
884,"q9esiww1",0.417,"8%","1/12",0,"n/a","—"
885,"odg68asn",0.417,"8%","1/12",0,"n/a","—"
886,"1sbod2ly",0.417,"8%","1/12",0,"n/a","—"
887,"onegzmvx",0.417,"8%","1/12",0,"n/a","—"
888,"fyv6hjb6",0.417,"8%","1/12",0,"n/a","—"
889,"g4060jjd",0.417,"8%","1/12",0,"n/a","—"
890,"4meh41sq",0.417,"8%","1/12",0,"n/a","—"
891,"o58sxxnp",0.417,"8%","1/12",0,"n/a","—"
892,"915rupaw",0.417,"8%","1/12",0,"n/a","—"
893,"n03pe6jw",0.417,"8%","1/12",0,"n/a","—"
894,"7qe64dri",0.417,"8%","1/12",0,"n/a","—"
895,"nmeuq15r",0.417,"8%","1/12",0,"n/a","—"
896,"8xrbucx8",0.417,"8%","1/12",0,"n/a","—"
897,"4akdohld",0.417,"8%","1/12",0,"n/a","—"
898,"e0gsocb9",0.417,"8%","1/12",0,"n/a","—"
899,"9zesjqc5",0.417,"8%","1/12",0,"n/a","—"
900,"c83u93kn",0.417,"8%","1/12",0,"n/a","—"
901,"08p3u9xl",0.417,"8%","1/12",0,"n/a","—"
902,"9pkfv1ej",0.417,"8%","1/12",0,"n/a","—"
903,"0b3v4q20",0.417,"8%","1/12",0,"n/a","—"
904,"6kt0swj0",0.417,"8%","1/12",0,"n/a","—"
905,"2zkxfhuk",0.417,"8%","1/12",0,"n/a","—"
906,"ev2emarw",0.417,"8%","1/12",0,"n/a","—"
907,"fyzr3v1l",0.417,"8%","1/12",0,"n/a","—"
908,"1oczknlz",0.417,"8%","1/12",0,"n/a","—"
909,"12ks023y",0.417,"8%","1/12",0,"n/a","—"
910,"8sekm8yi",0.417,"8%","1/12",0,"n/a","—"
911,"bbrbjfcn",0.417,"8%","1/12",0,"n/a","—"
912,"dqjv01xv",0.417,"8%","1/12",0,"n/a","—"
913,"gozew42i",0.417,"8%","1/12",0,"n/a","—"
914,"0xv6j5o7",0.417,"8%","1/12",0,"n/a","—"
915,"a38rztpb",0.417,"8%","1/12",0,"n/a","—"
916,"lkc5u345",0.417,"8%","1/12",0,"n/a","—"
917,"mld2zd8o",0.417,"8%","1/12",0,"n/a","—"
918,"m3al4zt7",0.417,"8%","1/12",0,"n/a","—"
919,"8oujj4sv",0.417,"8%","1/12",0,"n/a","—"
920,"ou1a72kp",0.417,"8%","1/12",0,"n/a","—"
921,"e1tcd61s",0.417,"8%","1/12",0,"n/a","—"
922,"6ppl7loi",0.417,"8%","1/12",0,"n/a","—"
923,"fgg91hew",0.417,"8%","1/12",0,"n/a","—"
924,"lvuzsn0h",0.417,"8%","1/12",0,"n/a","—"
925,"s8s6ivi7",0.417,"8%","1/12",0,"n/a","—"
926,"fxj2ubb1",0.417,"8%","1/12",0,"n/a","—"
927,"ogxsqhee",0.417,"8%","1/12",0,"n/a","—"
928,"8wv3yiq0",0.417,"8%","1/12",0,"n/a","—"
929,"8i1qbx49",0.417,"8%","1/12",0,"n/a","—"
930,"zjwscx8l",0.417,"8%","1/12",0,"n/a","—"
931,"jgi5laaz",0.417,"8%","1/12",0,"n/a","—"
932,"e4ufg2q5",0.417,"8%","1/12",0,"n/a","—"
933,"i60u3zym",0.417,"8%","1/12",0,"n/a","—"
934,"1dfscdek",0.417,"8%","1/12",0,"n/a","—"
935,"759i7kck",0.417,"8%","1/12",0,"n/a","—"
936,"ujpjpxi8",0.417,"8%","1/12",0,"n/a","—"
937,"u34ttfcm",0.417,"8%","1/12",0,"n/a","—"
938,"l1thrzvt",0.417,"8%","1/12",0,"n/a","—"
939,"ro9o3i0e",0.417,"8%","1/12",0,"n/a","—"
940,"4mqaj9n1",0.417,"8%","1/12",0,"n/a","—"
941,"l40ka9fe",0.417,"8%","1/12",0,"n/a","—"
942,"woydupik",0.417,"8%","1/12",0,"n/a","—"
943,"sof0amee",0.417,"8%","1/12",0,"n/a","—"
944,"iw35img3",0.417,"8%","1/12",0,"n/a","—"
945,"8i2ovi72",0.417,"8%","1/12",0,"n/a","—"
946,"nktl5paj",0.417,"8%","1/12",0,"n/a","—"
947,"pqp4tbtw",0.417,"8%","1/12",0,"n/a","—"
948,"w9u023sy",0.417,"8%","1/12",0,"n/a","—"
949,"nxmfsj9p",0.417,"8%","1/12",0,"n/a","—"
950,"wsvj009y",0.417,"8%","1/12",0,"n/a","—"
951,"ggzc1hml",0.417,"8%","1/12",0,"n/a","—"
952,"j19q4gcf",0.417,"8%","1/12",0,"n/a","—"
953,"kvk5csdm",0.417,"8%","1/12",0,"n/a","—"
954,"b09d3xoe",0.417,"8%","1/12",0,"n/a","—"
955,"v406zpon",0.417,"8%","1/12",0,"n/a","—"
956,"tzuqz2iz",0.417,"8%","1/12",0,"n/a","—"
957,"t76up57a",0.417,"8%","1/12",0,"n/a","—"
958,"nzt2ksui",0.417,"8%","1/12",0,"n/a","—"
959,"veuq5dgf",0.417,"8%","1/12",0,"n/a","—"
960,"w3e2ywie",0.417,"8%","1/12",0,"n/a","—"
961,"70sh19im",0.417,"8%","1/12",0,"n/a","—"
962,"otv8iylj",0.417,"8%","1/12",0,"n/a","—"
963,"hpsqpelg",0.417,"8%","1/12",0,"n/a","—"
964,"ols235s4",0.417,"8%","1/12",0,"n/a","—"
965,"k4wfsw3x",0.417,"8%","1/12",0,"n/a","—"
966,"1mxy94qn",0.417,"8%","1/12",0,"n/a","—"
967,"9agfwrm5",0.417,"8%","1/12",0,"n/a","—"
968,"m0i6agcg",0.417,"8%","1/12",0,"n/a","—"
969,"5qsj39gy",0.417,"8%","1/12",0,"n/a","—"
970,"r4noo57s",0.417,"8%","1/12",0,"n/a","—"
971,"ey0nm3mc",0.417,"8%","1/12",0,"n/a","—"
972,"8b36gvns",0.417,"8%","1/12",0,"n/a","—"
973,"0wwcb6qa",0.417,"8%","1/12",0,"n/a","—"
974,"dcyd89kj",0.417,"8%","1/12",0,"n/a","—"
975,"o1si9qoq",0.417,"8%","1/12",0,"n/a","—"
976,"3h6pqbub",0.417,"8%","1/12",0,"n/a","—"
977,"bgpbc2pi",0.417,"8%","1/12",0,"n/a","—"
978,"1m9q1svp",0.417,"8%","1/12",0,"n/a","—"
979,"9g37l91s",0.417,"8%","1/12",0,"n/a","—"
980,"nk7u1zc8",0.417,"8%","1/12",0,"n/a","—"
981,"hdvny2ch",0.417,"8%","1/12",0,"n/a","—"
982,"gql74srz",0.417,"8%","1/12",0,"n/a","—"
983,"27dn5slm",0.417,"8%","1/12",0,"n/a","—"
984,"gdvh3jcn",0.417,"8%","1/12",0,"n/a","—"
985,"niqxpos6",0.417,"8%","1/12",0,"n/a","—"
986,"koyaw5zd",0.417,"8%","1/12",0,"n/a","—"
987,"euz5vmm9",0.417,"8%","1/12",0,"n/a","—"
988,"l7437rkz",0.417,"8%","1/12",0,"n/a","—"
989,"tf2vnvtz",0.417,"8%","1/12",0,"n/a","—"
990,"1ybf7ju8",0.417,"8%","1/12",0,"n/a","—"
991,"vvga0en1",0.417,"8%","1/12",0,"n/a","—"
992,"3rnhdzka",0.417,"8%","1/12",0,"n/a","—"
993,"kac0huvn",0.417,"8%","1/12",0,"n/a","—"
994,"h1vxe0x6",0.417,"8%","1/12",0,"n/a","—"
995,"lnvz9tjp",0.417,"8%","1/12",0,"n/a","—"
996,"zwdhjcri",0.417,"8%","1/12",0,"n/a","—"
997,"8ch4swbs",0.417,"8%","1/12",0,"n/a","—"
998,"66s6ad3y",0.417,"8%","1/12",0,"n/a","—"
999,"w60y8qhk",0.417,"8%","1/12",0,"n/a","—"
1000,"zn2xkogp",0.417,"8%","1/12",0,"n/a","—"
